Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,child_left_label,child_right_label,parent_label,child_left_abstract_count,child_left_abstract_share,child_left_selected,child_right_abstract_count,child_right_abstract_share,child_right_selected,parent_abstract_count,parent_abstract_share,parent_selected,merge_priority
102,learning_language_human_using_knowledge,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",100,learning_training_neural_image_language,101,quantum_learning_ai_problem_human,1.1462683047949247,,,,,,,,,,,,,review_under_threshold_child
101,quantum_learning_ai_problem_human,"[6, 7, 10, 11, 12, 13, 14, 15, 20, 22, 23, 24, 25, 27, 29, 33, 34, 38, 39, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51]",54,quantum_variational quantum_quantum circuits_circuits_cognition,99,ai_learning_problem_causal_human,1.108215427093628,,,,,,,,,,,,,review_under_threshold_child
100,learning_training_neural_image_language,"[0, 1, 2, 3, 4, 5, 8, 9, 16, 17, 18, 19, 21, 26, 28, 30, 31, 32, 35, 36, 37, 46, 47]",95,knowledge_language_summarization_learning_entity,98,privacy_speech_adversarial_image_images,1.0779949645812952,,,,,,,,,,,,,review_under_threshold_child
99,ai_learning_problem_causal_human,"[6, 7, 10, 11, 12, 13, 14, 15, 20, 22, 23, 24, 25, 27, 29, 33, 34, 38, 40, 41, 42, 43, 44, 45, 48, 50, 51]",94,causal_game_robot_ai_agent,97,fairness_learning_optimization_problem_preference,1.0524331329932786,,,,,,,,,,,,,review_under_threshold_child
98,privacy_speech_adversarial_image_images,"[3, 8, 9, 17, 18, 19, 30, 32, 35, 36, 37, 46, 47]",96,speech_emotion_music_images_image,92,privacy_attacks_attack_adversarial_patch,1.0488650183793176,,,,,,,,,,,,,review_under_threshold_child
97,fairness_learning_optimization_problem_preference,"[14, 20, 22, 23, 25, 27, 29, 33, 34, 38, 41, 43, 44, 45, 50, 51]",93,fairness_clustering_recommendation_problem_explanations,89,continual_continual learning_preference_reward_language,1.0369647060531728,,,,,,,,,,,,,review_under_threshold_child
96,speech_emotion_music_images_image,"[8, 9, 18, 19, 30, 32, 35, 37, 47]",87,speech_emotion_music_time series_rnns,83,images_image_deep_training_segmentation,1.0204112863227228,,,,,,,,,,,,,review_under_threshold_child
95,knowledge_language_summarization_learning_entity,"[0, 1, 2, 4, 5, 16, 21, 26, 28, 31]",79,entity_ontology_knowledge_entities_graph,85,summarization_language_learning_sentiment_clinical,1.015679801632419,,,,,,,,,,,,,review_under_threshold_child
94,causal_game_robot_ai_agent,"[6, 7, 10, 11, 12, 13, 15, 24, 40, 42, 48]",90,causal_robot_ai_argumentation_logic,84,game_games_agent_player_agents,1.014053914566873,,,,,,,,,,,,,review_under_threshold_child
93,fairness_clustering_recommendation_problem_explanations,"[14, 20, 23, 25, 27, 29, 33, 38, 41]",81,fuzzy_search_mutation_optimization_problem,91,fairness_clustering_explanations_recommendation_user,1.0115449008098385,,,,,,,,,,,,,review_under_threshold_child
92,privacy_attacks_attack_adversarial_patch,"[3, 17, 36, 46]",62,privacy_dp_mia_private_memorization,55,attack_adversarial_attacks_patch_adversarial patch,1.008636962621794,,,,,,,,,,,,,review_under_threshold_child
91,fairness_clustering_explanations_recommendation_user,"[14, 27, 33, 38, 41]",73,fairness_explanations_recommendation_user_users,71,clustering_clusters_rank_number clusters_nmf,1.0044415329667162,,,,,,,,,,,,,review_under_threshold_child
90,causal_robot_ai_argumentation_logic,"[6, 7, 11, 12, 13, 24, 40, 48]",88,causal_argumentation_arguments_inference_probabilistic,86,robot_ai_logic_planning_consciousness,1.001003776670149,,,,,,,,,,,,,review_under_threshold_child
89,continual_continual learning_preference_reward_language,"[22, 34, 43, 44, 45, 50, 51]",80,chatgpt_scrambled_gpt_language_llms,82,continual_continual learning_preference_preference optimization_rehearsal,0.998715372489498,,,,,,,,,,,,,review_under_threshold_child
88,causal_argumentation_arguments_inference_probabilistic,"[12, 13, 40]",40,argumentation_arguments_semantics_argumentative_argumentation semantics,68,causal_probabilistic_bayesian_inference_probabilistic programming,0.9909373490330011,,,,,,,,,,,,,review_under_threshold_child
87,speech_emotion_music_time series_rnns,"[8, 30, 32, 37, 47]",74,emotion_music_speech_musical_emotion recognition,70,time series_rnns_forecasting_series_keyboard,0.9897654867429306,,,,,,,,,,,,,review_under_threshold_child
86,robot_ai_logic_planning_consciousness,"[6, 7, 11, 24, 48]",75,robot_planning_logic_human robot_belief,64,ai_consciousness_ethical_intelligence_artificial,0.9864581931684443,,,,,,,,,,,,,review_under_threshold_child
85,summarization_language_learning_sentiment_clinical,"[0, 1, 2, 5, 21, 28]",57,language_learning_clinical_visual_multimodal,65,summarization_sentiment_mds_stories_document summarization,0.9829979782021465,,,,,,,,,,,,,review_under_threshold_child
84,game_games_agent_player_agents,"[10, 15, 42]",59,game_games_bribery_votes_voting,42,agent_helpa_apps_clai_command,0.9791240055687038,,,,,,,,,,,,,review_under_threshold_child
